name,image_url,calories,fat,carbs,description,prep_time,cook_time,instructions,protein,id
Chicken Peek-a-Boos,https://images.eatthismuch.com/img/211865_Mz_e4c30b38-0c28-4af9-a53b-e26216037ae3.png,534,30g,6g,"1 serving of chicken peek-a-boos  contains 534 Calories. The macronutrient
  breakdown is 5% carbs, 51% fat, and 45% protein.  This is a good source of protein (105% of your Daily Value), potassium (21% of your Daily Value), and calcium (28% of your Daily Value).",15 minutes,25 minutes,"Directions Preheat oven to 375 degrees F.Combine cheeses, basil, and mustard in bowl. Mix until blended, then salt and pepper to taste.Cut chicken breasts in half (like you would cut a loaf of bread). Using a meat mallet, tenderize and flatten chicken.Place 2 slices ham on chicken, cover completely. Spread 1/4 of the cheese mixture on ham. Roll up chicken and ham. Use toothpicks to secure the chicken roll.In an oven-safe frying pan drizzle olive oil. Turn heat to medium. Once hot brown the chicken rolls.Move pan into oven for 18-25 minutes or until center of chicken has reached 165 degrees F.Let rest for about 5 minutes before enjoying.",59,425
Scallops with Brussels Sprouts and Mustard Sauce,https://images.eatthismuch.com/img/295670_kellilang5_af7e16e2-7ab5-4053-87dd-062b08ca760b.png,260,17g,12g,"1 serving of scallops with brussels sprouts and mustard sauce  contains 260 Calories. The macronutrient
  breakdown is 18% carbs, 57% fat, and 25% protein.  This is a good source of protein (30% of your Daily Value), potassium (11% of your Daily Value), and vitamin b12 (67% of your Daily Value).",15 minutes,15 minutes,"Directions Dry the scallosp, add salt and pepper to taste, and dust on both sides with flour. Set aside. 

In a small bowl, combine the butter (cut into small pieces), lemon juice, mustard, salt and pepper (to taste), and 2 tbsp water. Set aside. 

In a food processor, shred the Brussels sprouts,  then season with salt and pepper. 

Heat 2 tbsp of the oil in a 12-inch nonstick skillet over medium-high heat until shimmering hot. Add the Brussels sprouts and toss to coat with the oil. Cover and cook a few minutes until starting to soften. Transfer to a platter and keep warm.

Heat the remaining 1 tbsp oil in the skillet over medium-high heat until shimmering hot. Add the scallops and cook, flipping once, until browned and just cooked through, about 5 minutes total. Put the scallops on top of the Brussels sprouts on the platter 

Turn the heat on the skillet down to medium-low. Add the butter-juice-mustard mixture, stirring and scraping up any browned bits, until the butter is incorporated and the sauce has thickened, about 1 minute. Spoon over the scallops, and serve.",17,426
Creamy Asparagus Tagliatelle,https://images.eatthismuch.com/img/367506_AnthonyJenkins_8ff4da10-6f3a-4a3d-9a14-37adc2481fe3.png,916,36g,117g,"1 serving of creamy asparagus tagliatelle  contains 916 Calories. The macronutrient
  breakdown is 49% carbs, 34% fat, and 17% protein.  This is a good source of protein (73% of your Daily Value), potassium (15% of your Daily Value), and calcium (70% of your Daily Value).",15 minutes,15 minutes,"Directions Put cream in a sauce pan and bring to a boil. Reduce to a low simmer for 10 minutes, until thickened.Meanwhile, cook pasta according to package instructions. 2 minutes before pasta is finished, add asparagus to the boiling water. Drain well and return to the warm pan with the cream, lemon juice, parsley, and 1/2 of the Parmesan cheese.Toss together and season well with salt and pepper. Sprinkle remaining cheese on top. Enjoy!",41,427
BLT Ranch Burger,https://images.eatthismuch.com/img/329328_simmyras_dbd95f9b-6e4c-4216-a6d9-d41e967b4c8c.png,688,50g,30g,"1 Burger of blt ranch burger  contains 688 Calories. The macronutrient
  breakdown is 17% carbs, 65% fat, and 18% protein.  This is a good source of protein (54% of your Daily Value), potassium (14% of your Daily Value), and iron (62% of your Daily Value).",10 minutes,10 minutes,"Directions Cook bacon in a skillet over medium heat until cooked to desired crispiness.For the dressing: Combine the mayonnaise, buttermilk, chives, parsley, salt, pepper, and garlic powder in a medium bowl and mix well. Refrigerate until ready to serve.For the burgers: Preheat an outdoor grill to medium-high heat.In a bowl, combine the beef, Worcestershire sauce, egg, and salt and pepper to taste. Shape into 4 patties.Grill the patties for about 5 minutes per side for medium doneness.Place each patty on a bun and top with bacon, tomato, lettuce and a generous dollop of dressing. Close the burgers with the top bun half and serve immediately. Enjoy!",30,428
Cider-Glazed Lamb Chops,https://images.eatthismuch.com/img/57036_Shamarie84_aa5a6b12-c90e-4065-82d1-57b0700be203.png,582,28g,16g,"1 serving of cider-glazed lamb chops  contains 582 Calories. The macronutrient
  breakdown is 11% carbs, 45% fat, and 44% protein.  This is a good source of protein (112% of your Daily Value), potassium (21% of your Daily Value), and iron (78% of your Daily Value).",10 minutes,25 minutes,"Directions Mince garlic. Finely chop scallion.Boil apple juice, ginger, garlic, soy sauce, vinegar, and honey in a small saucepan until reduced to about 1/4 cup, 10 to 12 minutes. Cool completely. Reserve 2 tablespoons glaze for drizzling.Preheat broiler.Pat lamb chops dry and sprinkle with 1/2 teaspoon salt (total). Arrange on rack of a broiler pan and brush top of chops with half of glaze. Broil 3 to 4 inches from heat 3 minutes. Turn over and brush with remaining glaze, then broil 3 to 4 minutes more for medium-rare. Transfer chops to a plate and drizzle with reserved glaze. Let stand 5 minutes, then sprinkle with scallion.",63,429
Chestnut Pancakes with Bacon and creme fraiche,https://images.eatthismuch.com/images/recipe_image_placeholder.jpg,52,3g,6g,"1 serving of chestnut pancakes with bacon and creme fraiche  contains 52 Calories. The macronutrient
  breakdown is 43% carbs, 45% fat, and 13% protein.  This has a moderate calorie density, with 174 Calories per 100g.",10 minutes,15 minutes,"Directions Coarsely chop chestnuts.Cook bacon in large skillet over medium heat until brown and crisp. Using slotted spoon, transfer bacon to paper towels to drain. Transfer 2 tablespoons bacon drippings to blender; add milk and next 3 ingredients, then 1 cup chestnuts. Blend until batter is smooth. Pour batter into bowl; stir in remaining 1/2 cup chestnuts.Pour remaining drippings into small bowl. Brush same skillet with some drippings; heat over medium heat. Drop in batter by rounded tablespoonfuls. Cook pancakes until brown and cooked through, about 3 minutes per side. Transfer to plates. Top with sour cream and chopped or crumbled bacon, then chives or maple syrup.",2,430
Spicy Chicken Fried Quinoa,https://images.eatthismuch.com/img/338809_lastlegwarrior350_c6049b96-52f8-4d58-82ab-034bd38edd7d.png,1843,72g,157g,"1 serving of spicy chicken fried quinoa  contains 1843 Calories. The macronutrient
  breakdown is 34% carbs, 35% fat, and 31% protein.  This is a good source of protein (259% of your Daily Value), fiber (80% of your Daily Value), and potassium (106% of your Daily Value).",12 minutes,45 minutes,"Directions Cook quinoa using low-sodium chicken broth according to package instructions. Allow to cool to room temperature.Mix liquid aminos, chutney, sriracha, and teriyaki sauce in a small bowl; set aside.Spray a nonstick skillet with coconut oil and set over medium heat. Cook garlic, carrots, and red onions until onions are translucent.Add ground chicken to the skillet, breaking it apart as it cooks until fully cooked. Increase heat to medium-high and add the cooled, dry quinoa. Stir well.Stir in the sauce quickly to avoid burning. Add eggs, stirring and chopping to distribute evenly. Reduce heat to medium, add frozen edamame, and cook until thawed.",145,431
Broccoli Chicken Zucchini Boats,https://images.eatthismuch.com/img/362690_Chrisandrew_3e579f30-398d-41d1-8e4b-eeee7a9c78bf.png,515,37g,13g,"1 serving of broccoli chicken zucchini boats  contains 515 Calories. The macronutrient
  breakdown is 10% carbs, 64% fat, and 26% protein.  This is a good source of protein (61% of your Daily Value), fiber (15% of your Daily Value), and potassium (22% of your Daily Value).",15 minutes,35 minutes,"Directions Preheat oven to 400°F.Heat olive oil in a pan over medium-high heat. Once hot, add the chicken and cook for 4-5 minutes per side, or until cooked through and no longer pink. Set aside.Cut the zucchini in half lengthwise and, using a spoon, scoop out most of the flesh until you’re left with a shell about ½-1 cm thick.Pour 1 tbsp of melted butter into each zucchini boat, season with salt and pepper, and place them in the oven for about 20 minutes.While the zucchini is cooking, shred the chicken. Cut the broccoli florets into small pieces and combine both the chicken and broccoli with sour cream. Season with salt and pepper.Once the zucchini is tender, remove from the oven and add the chicken and broccoli filling.Sprinkle with cheddar cheese and bake for an additional 10-15 minutes, or until the cheese is melted and browning.Garnish with chopped scallions and enjoy with more sour cream or mayo!",34,432
Indian Spiced Roasted Chickpeas,https://images.eatthismuch.com/img/300508_kgines_3bf544bc-8d4e-43b4-bb9e-6c4278dd4501.png,301,14g,34g,"1 serving of indian spiced roasted chickpeas  contains 301 Calories. The macronutrient
  breakdown is 44% carbs, 41% fat, and 16% protein.  This is a good source of protein (22% of your Daily Value), fiber (41% of your Daily Value), and potassium (9% of your Daily Value).",5 minutes,40 minutes,"Directions Preheat the oven to 400 degrees F.

Place the chickpeas into a large bowl. Mix the spices and salt into the melted coconut oil. Pour the spiced oil over the chickpeas. Combine the chickpeas and spiced oil thoroughly, ensuring the chickpeas are well coated.

Spread the spiced chickpeas onto a baking tray. Roast for 35-40 minutes, stirring frequently. Watch the chickpeas carefully towards the end of the cooking time as they burn easily.

The chickpeas are ready when they are lightly browned and crispy. To test the chickpeas, remove one from the oven and allow to cool. If the chickpeas are still chewy rather than crispy, they need a little more time in the oven.

Allow the chickpeas to cool on the tray, then store in an airtight container.",12,433
Cauliflower Tots,https://images.eatthismuch.com/img/739301_HillOK444_1acb3ee5-06d9-4556-af26-94635122642b.png,189,9g,19g,"1 serving of cauliflower tots (Crispy and perfect for dipping) contains 189 Calories. The macronutrient
  breakdown is 38% carbs, 39% fat, and 23% protein.  This is a good source of protein (20% of your Daily Value), fiber (14% of your Daily Value), and potassium (12% of your Daily Value).",30 minutes,20 minutes,"Directions In a food processor, pulse chopped cauliflower until it resembles the shape and size of rice. You can also use a box grater or mince the cauliflower by hand. Preheat the oven to 400°F. Line a baking sheet with parchment paper and spray it generously with nonstick spray.Squeeze excess moisture from the prepared cauliflower using paper towels or a tea towel and transfer to a large bowl.Add the scallions, parsley, cheese, garlic powder, cayenne, egg and egg white; mix to combine. Add the breadcrumbs and mix to combine.Scoop out 2 tablespoons of the mixture and form it into a tater tot, cylindrical shape and place on the prepared baking sheet. Repeat with the rest of the mixture leaving space between each tot. Spray the surface of the tots with nonstick spray.Bake until the bottoms turn golden brown, about 17 to 20 minutes. Rotate the tots and bake another 5 to 10 minutes more to brown the other side. Serve immediately and enjoy!",11,434
Glazed Apricot Twists,https://images.eatthismuch.com/img/45342_Shamarie84_ec9fac6b-a69f-48e3-b299-4898db28e5d8.png,255,13g,34g,"1 serving of glazed apricot twists  contains 255 Calories. The macronutrient
  breakdown is 52% carbs, 44% fat, and 4% protein.  This has a relatively high calorie density, with 416 Calories per 100g.",15 minutes,40 minutes,"Directions Put oven rack in middle position and preheat oven to 425F. Line a baking sheet with parchment paper.Thaw and roll out pastry on a lightly floured surface into a 12- by 10-inch rectangle, then cut in half lengthwise. Cut each half crosswise into 4 (5- by 3-inch) strips (for a total of 8 strips).Spread each strip with 1/2 tablespoon of melted jam, then fold strips in half lengthwise to form 1 1/2-inch-wide strips. Twist each strip 3 times and place on baking sheet.Bake until golden brown, 15 to 20 minutes. Transfer twists to a rack set over a sheet of parchment. Stir together confectioners sugar, cream, and lemon juice until smooth, then brush over warm twists. Serve warm.",3,435
Peaches with Serrano Ham and Basil,https://images.eatthismuch.com/img/45162_Shamarie84_2c0b92a4-a23a-47ed-a2d2-b29ecd3dd396.png,16,0.4g,2g,"1 serving of peaches with serrano ham and basil  contains 16 Calories. The macronutrient
  breakdown is 45% carbs, 24% fat, and 30% protein.  This has a relatively low calorie density, with 65 Calories per 100g.",15 minutes,25 minutes,"Directions PREPARATION:  Cut peaches into 8 wedges.  Thinly slice ham.Toss together peaches, sugar, vinegar, and cumin and let stand 10 minutes.Cut ham slices in half lengthwise, then wrap each piece around a wedge of peach. Top with a basil leaf and secure with a wooden or metal pick.",1,436
